,date,total_cars_sold,seasonal_values,deseasonlised_cars_sold
0,2002-01-01,81033,-7884.609848484848,88917.60984848485
1,2002-02-01,78502,-11809.382575757583,90311.38257575758
2,2002-03-01,93019,8072.071969696961,84946.92803030304
3,2002-04-01,96269,5053.026515151505,91215.9734848485
4,2002-05-01,97936,4876.617424242417,93059.38257575758
5,2002-06-01,91763,7374.571969696961,84388.42803030304
6,2002-07-01,85602,5040.29924242424,80561.70075757576
7,2002-08-01,99275,7201.662878787873,92073.33712121213
8,2002-09-01,95225,2246.571969696961,92978.42803030304
9,2002-10-01,93296,712.9810606060637,92583.01893939394
10,2002-11-01,76878,-9752.42803030304,86630.42803030304
11,2002-12-01,69455,-11131.382575757583,80586.38257575758
12,2003-01-01,84188,-7884.609848484848,92072.60984848485
13,2003-02-01,65633,-11809.382575757583,77442.38257575758
14,2003-03-01,89218,8072.071969696961,81145.92803030304
15,2003-04-01,99538,5053.026515151505,94484.9734848485
16,2003-05-01,100214,4876.617424242417,95337.38257575758
17,2003-06-01,98477,7374.571969696961,91102.42803030304
18,2003-07-01,103899,5040.29924242424,98858.70075757576
19,2003-08-01,100385,7201.662878787873,93183.33712121213
20,2003-09-01,98743,2246.571969696961,96496.42803030304
21,2003-10-01,101014,712.9810606060637,100301.01893939394
22,2003-11-01,80810,-9752.42803030304,90562.42803030304
23,2003-12-01,81491,-11131.382575757583,92622.38257575758
24,2004-01-01,79788,-7884.609848484848,87672.60984848485
25,2004-02-01,78622,-11809.382575757583,90431.38257575758
26,2004-03-01,108106,8072.071969696961,100033.92803030304
27,2004-04-01,101537,5053.026515151505,96483.9734848485
28,2004-05-01,96408,4876.617424242417,91531.38257575758
29,2004-06-01,107831,7374.571969696961,100456.42803030304
30,2004-07-01,99323,5040.29924242424,94282.70075757576
31,2004-08-01,98281,7201.662878787873,91079.33712121213
32,2004-09-01,98950,2246.571969696961,96703.42803030304
33,2004-10-01,91885,712.9810606060637,91172.01893939394
34,2004-11-01,84513,-9752.42803030304,94265.42803030304
35,2004-12-01,82941,-11131.382575757583,94072.38257575758
36,2005-01-01,83171,-7884.609848484848,91055.60984848485
37,2005-02-01,78373,-11809.382575757583,90182.38257575758
38,2005-03-01,100365,8072.071969696961,92292.92803030304
39,2005-04-01,98586,5053.026515151505,93532.9734848485
40,2005-05-01,96956,4876.617424242417,92079.38257575758
41,2005-06-01,104695,7374.571969696961,97320.42803030304
42,2005-07-01,96794,5040.29924242424,91753.70075757576
43,2005-08-01,115136,7201.662878787873,107934.33712121213
44,2005-09-01,101850,2246.571969696961,99603.42803030304
45,2005-10-01,88759,712.9810606060637,88046.01893939394
46,2005-11-01,81968,-9752.42803030304,91720.42803030304
47,2005-12-01,79016,-11131.382575757583,90147.38257575758
48,2006-01-01,83076,-7884.609848484848,90960.60984848485
49,2006-02-01,77060,-11809.382575757583,88869.38257575758
50,2006-03-01,100372,8072.071969696961,92299.92803030304
51,2006-04-01,92247,5053.026515151505,87193.9734848485
52,2006-05-01,100611,4876.617424242417,95734.38257575758
53,2006-06-01,101757,7374.571969696961,94382.42803030304
54,2006-07-01,93273,5040.29924242424,88232.70075757576
55,2006-08-01,103667,7201.662878787873,96465.33712121213
56,2006-09-01,93018,2246.571969696961,90771.42803030304
57,2006-10-01,93279,712.9810606060637,92566.01893939394
58,2006-11-01,80914,-9752.42803030304,90666.42803030304
59,2006-12-01,76976,-11131.382575757583,88107.38257575758
60,2007-01-01,84707,-7884.609848484848,92591.60984848485
61,2007-02-01,73153,-11809.382575757583,84962.38257575758
62,2007-03-01,94375,8072.071969696961,86302.92803030304
63,2007-04-01,92833,5053.026515151505,87779.9734848485
64,2007-05-01,97875,4876.617424242417,92998.38257575758
65,2007-06-01,98508,7374.571969696961,91133.42803030304
66,2007-07-01,94250,5040.29924242424,89209.70075757576
67,2007-08-01,98596,7201.662878787873,91394.33712121213
68,2007-09-01,82789,2246.571969696961,80542.42803030304
69,2007-10-01,92313,712.9810606060637,91600.01893939394
70,2007-11-01,77753,-9752.42803030304,87505.42803030304
