date,electric,plug-in_hybrid,total_electric_sales
2020-07-01,15192,11026,26218
2020-08-01,15578,11153,26731
2020-09-01,15889,11297,27186
2020-10-01,16549,11453,28002
2020-11-01,16906,11669,28575
2020-12-01,17397,11871,29268
2021-01-01,17875,12064,29939
2021-02-01,18155,12190,30345
2021-03-01,18725,12436,31161
2021-04-01,19426,12754,32180
2021-05-01,19962,13208,33170
2021-06-01,21076,13765,34841
2021-07-01,21845,14235,36080
2021-08-01,22681,14751,37432
2021-09-01,23297,15148,38445
2021-10-01,24012,15621,39633
2021-11-01,24655,15932,40587
2021-12-01,25264,16210,41474
2022-01-01,26076,16440,42516
2022-02-01,26991,16717,43708
2022-03-01,28181,17113,45294
2022-04-01,29699,17433,47132
2022-05-01,30587,17804,48391
2022-06-01,33230,19089,52319
2022-07-01,33633,19333,52966
2022-08-01,34746,19559,54305
2022-09-01,36166,19786,55952
2022-10-01,37214,20133,57347
2022-11-01,39517,20777,60294
2022-12-01,41560,21184,62744
2023-01-01,43031,21364,64395
2023-02-01,44463,21692,66155
2023-03-01,46405,22223,68628
2023-04-01,47821,22696,70517
2023-05-01,49451,23235,72686
2023-06-01,52008,23853,75861
2023-07-01,53883,24399,78282
2023-08-01,55728,25360,81088
2023-09-01,58157,26022,84179
2023-10-01,60136,26951,87087
2023-11-01,61557,27423,88980
2023-12-01,64587,28135,92722
2024-01-01,66043,29190,95233
2024-02-01,67103,29622,96725
2024-03-01,69529,30216,99745
2024-04-01,71715,30815,102530
