date,total_cars_sold,new_cars_sold,used_cars_sold,total_value_cars_sold,new_value_cars_sold,used_value_cars_sold,electric,plug-in_hybrid,total_electric_sales,real_value_cars_sold,real_new_value_cars_sold,real_used_value_cars_sold,real_average_price_cars_sold,real_new_average_price_cars_sold,real_used_average_price_cars_sold
2002-01-01,81033,31106,49927,1141497749,755015820,386481929,,,,1983276859.9986384,1311790063.581542,671486796.4170963,24474.928239095658,24272.353243747188,7740.940352915256
2002-02-01,78502,27520,50982,1025807465,664454223,361353242,,,,1779268811.0057867,1152499582.6823933,626769228.3233933,22665.267267149713,24144.412172965116,7087.859283668746
2002-03-01,93019,34225,58794,1225051631,805666244,419385387,,,,2118906950.4661179,1393518249.328,725388701.1381177,22779.291870113826,23540.284704163623,7133.1324114705585
2002-04-01,96269,36452,59817,1279429447,846368297,433061150,,,,2203087598.023837,1457386730.3534524,745700867.6703849,22884.704297581124,23218.706710194227,7239.767123058662
2002-05-01,97936,37359,60577,1297575194,855005784,442569410,,,,2231843791.3423285,1470619475.0068412,761224316.3354875,22788.798718983096,22886.20637597366,7305.898443303564
2002-06-01,91763,36348,55415,1244982779,830251613,414731166,,,,2140191944.0646884,1427246901.452372,712945042.6123164,23323.038087951445,22841.741306261694,7484.095750248128
2002-07-01,85602,30367,55235,1085203914,700530891,384673023,,,,1861377926.7566001,1201573935.2729,659803991.4837,21744.561187315718,23068.821121612276,6964.298415859509
2002-08-01,99275,38965,60310,1389937932,934484212,455453720,,,,2377463806.102737,1598418418.7329862,779045387.3697507,23948.26296754205,23982.656537918643,7551.877300613497
2002-09-01,95225,39740,55485,1382614325,950502055,432112270,,,,2361012787.21875,1623118946.1549225,737893841.0638274,24794.043446770807,23918.018495218923,7787.911507614671
2002-10-01,93296,35276,58020,1322064686,865326154,456738532,,,,2252631872.433841,1474406884.3171525,778224988.1166888,24144.999490158647,24530.166515477944,7872.0877628404
2002-11-01,76878,27812,49066,1070937278,691740703,379196575,,,,1821726264.9271405,1176690953.8601983,645035311.0669422,23696.327491963115,24872.022975693944,7728.296070598785
2002-12-01,69455,26994,42461,1047662248,673208880,374453368,,,,1779193277.0737956,1143277535.9128714,635915741.1609241,25616.48948346117,24939.204267615027,8818.759991521632
