date,consumer_confidence
2008-01-01,98.75163
2008-02-01,98.36383
2008-03-01,97.89629
2008-04-01,97.36927
2008-05-01,96.99088
2008-06-01,96.87189
2008-07-01,97.07452
2008-08-01,97.33123
2008-09-01,97.4071
2008-10-01,97.055
2008-11-01,96.799
2008-12-01,96.79156
2009-01-01,96.79874
2009-02-01,96.77277
2009-03-01,96.97421
2009-04-01,97.42125
2009-05-01,97.8059
2009-06-01,97.96515
2009-07-01,97.92005
2009-08-01,97.96363
2009-09-01,98.14104
2009-10-01,98.17061
2009-11-01,98.1846
2009-12-01,98.3583
2010-01-01,98.51931
2010-02-01,98.57419
2010-03-01,98.57111
2010-04-01,98.55077
2010-05-01,98.5495
2010-06-01,98.45483
2010-07-01,98.17152
2010-08-01,97.99873
2010-09-01,97.94814
2010-10-01,98.04617
2010-11-01,98.30228
2010-12-01,98.55192
2011-01-01,98.65965
2011-02-01,98.61076
2011-03-01,98.36825
2011-04-01,98.31018
2011-05-01,98.29508
2011-06-01,97.99074
2011-07-01,97.41898
2011-08-01,96.93045
2011-09-01,96.85824
2011-10-01,97.07647
2011-11-01,97.50809
2011-12-01,98.05959
2012-01-01,98.53082
2012-02-01,98.79322
2012-03-01,98.91897
2012-04-01,98.95387
2012-05-01,98.89751
2012-06-01,98.69199
2012-07-01,98.61956
2012-08-01,98.79012
2012-09-01,99.10774
2012-10-01,99.33553
2012-11-01,99.24879
2012-12-01,98.91343
2013-01-01,98.78448
2013-02-01,98.88791
2013-03-01,99.05544
2013-04-01,99.26848
2013-05-01,99.6083
2013-06-01,99.78398
2013-07-01,99.74612
2013-08-01,99.46401
2013-09-01,99.08121
2013-10-01,98.84456
2013-11-01,98.94547
2013-12-01,99.25048
2014-01-01,99.42391
2014-02-01,99.494
2014-03-01,99.52639
2014-04-01,99.60113
2014-05-01,99.59195
2014-06-01,99.57416
2014-07-01,99.57485
2014-08-01,99.6613
2014-09-01,99.8579
2014-10-01,100.1421
2014-11-01,100.495
2014-12-01,100.8878
2015-01-01,101.1527
2015-02-01,101.1553
2015-03-01,101.0587
2015-04-01,101.0039
2015-05-01,100.9234
2015-06-01,100.9375
2015-07-01,100.8226
2015-08-01,100.6329
2015-09-01,100.4619
2015-10-01,100.4912
2015-11-01,100.6079
2015-12-01,100.7051
2016-01-01,100.7182
2016-02-01,100.6808
2016-03-01,100.6409
2016-04-01,100.663
2016-05-01,100.7855
2016-06-01,100.7634
2016-07-01,100.6166
2016-08-01,100.5105
2016-09-01,100.4913
2016-10-01,100.5683
2016-11-01,100.8979
2016-12-01,101.2359
2017-01-01,101.3843
2017-02-01,101.372
2017-03-01,101.3411
2017-04-01,101.3006
2017-05-01,101.2275
2017-06-01,101.1198
2017-07-01,101.0805
2017-08-01,101.1788
2017-09-01,101.3007
2017-10-01,101.4507
2017-11-01,101.4306
2017-12-01,101.3479
2018-01-01,101.3772
2018-02-01,101.5368
2018-03-01,101.6359
2018-04-01,101.586
2018-05-01,101.5019
2018-06-01,101.4451
2018-07-01,101.4143
2018-08-01,101.4253
2018-09-01,101.5069
2018-10-01,101.4895
2018-11-01,101.3826
2018-12-01,101.2158
2019-01-01,101.0162
2019-02-01,101.0692
2019-03-01,101.2823
2019-04-01,101.4385
2019-05-01,101.5244
2019-06-01,101.4328
2019-07-01,101.2061
2019-08-01,100.9168
2019-09-01,100.9167
2019-10-01,101.115
2019-11-01,101.3775
2019-12-01,101.6001
2020-01-01,101.5985
2020-02-01,101.1803
2020-03-01,100.2051
2020-04-01,99.14452
2020-05-01,98.65596
2020-06-01,98.60732
2020-07-01,98.62421
2020-08-01,98.82139
2020-09-01,99.12664
2020-10-01,99.27196
2020-11-01,99.22985
2020-12-01,99.23284
2021-01-01,99.23878
2021-02-01,99.37518
2021-03-01,99.73307
2021-04-01,99.97179
2021-05-01,99.91441
2021-06-01,99.70934
2021-07-01,99.25195
2021-08-01,98.69581
2021-09-01,98.40384
2021-10-01,98.22147
2021-11-01,98.06284
2021-12-01,97.96371
2022-01-01,97.73397
2022-02-01,97.4334
2022-03-01,97.20119
2022-04-01,97.03862
2022-05-01,96.641
2022-06-01,96.24303
2022-07-01,96.21596
2022-08-01,96.47675
2022-09-01,96.6918
2022-10-01,96.80476
2022-11-01,96.86853
2022-12-01,97.08541
2023-01-01,97.36658
2023-02-01,97.48019
2023-03-01,97.37041
2023-04-01,97.27934
2023-05-01,97.27999
2023-06-01,97.56742
2023-07-01,97.90488
2023-08-01,97.94846
2023-09-01,97.76891
2023-10-01,97.56094
2023-11-01,97.63428
2023-12-01,98.151
2024-01-01,98.75771
