,total_payment
2002-03-01,23526501
2002-06-01,23432344
2002-09-01,23153527
2002-12-01,25477137
2003-03-01,24058561
2003-06-01,24219663
2003-09-01,24211105
2003-12-01,26550627
2004-03-01,25526995
2004-06-01,25252798
2004-09-01,25390468
2004-12-01,28546250
2005-03-01,26398381
2005-06-01,26671481
2005-09-01,27803944
2005-12-01,29934119
2006-03-01,29033832
2006-06-01,28261692
2006-09-01,28168918
2006-12-01,31326900
2007-03-01,30559128
2007-06-01,29845307
2007-09-01,29496454
2007-12-01,32985771
2008-03-01,31501211
2008-06-01,30679882
2008-09-01,30228395
2008-12-01,33297097
2009-03-01,30629666
2009-06-01,30193426
2009-09-01,29922480
2009-12-01,33734359
2010-03-01,30334968
2010-06-01,30881430
2010-09-01,30800610
2010-12-01,34909278
2011-03-01,31932406
2011-06-01,31959394
2011-09-01,32944856
2011-12-01,34543144
2012-03-01,34397305
2012-06-01,32560481
2012-09-01,32899668
2012-12-01,35860408
2013-03-01,34567318
2013-06-01,33294528
2013-09-01,33252760
2013-12-01,35726355
2014-03-01,35223847
2014-06-01,34071398
2014-09-01,34629608
2014-12-01,37463008
2015-03-01,36575391
2015-06-01,35420903
2015-09-01,35935760
2015-12-01,40222146
2016-03-01,37064540
2016-06-01,36766269
2016-09-01,38363228
2016-12-01,40461099
2017-03-01,39751190
2017-06-01,38309332
2017-09-01,38018206
2017-12-01,42081134
2018-03-01,41346187
2018-06-01,39929531
2018-09-01,39368710
2018-12-01,43184306
2019-03-01,42385520
2019-06-01,41575923
2019-09-01,40829816
2019-12-01,45124439
2020-03-01,44215323
2020-06-01,40179328
2020-09-01,40898302
2020-12-01,47774220
2021-03-01,44993101
2021-06-01,44214663
2021-09-01,44336086
2021-12-01,51495703
2022-03-01,47509625
2022-06-01,47282828
2022-09-01,49011315
2022-12-01,50751084
