date,total_cars_sold,new_cars_sold,used_cars_sold,real_value_cars_sold,real_new_value_cars_sold,real_used_value_cars_sold
2002-01-31,89211.63636363635,32128.060606060604,57086.753787878784,2040572534.9772727,1306241414.1742425,734374158.1893939
2002-02-28,90198.31818181818,33388.78787878787,56808.07196969697,2108438536.6136363,1381780591.901515,727646278.4166666
2002-03-31,85240.95454545454,33241.742424242424,51829.844696969696,2047124830.2954545,1373543818.6287878,670927505.5075758
2002-04-30,89819.5909090909,34646.378787878784,55176.39015151515,2134551887.7954545,1424029482.4469697,721252546.1893939
2002-05-31,92093.18181818181,34892.01515151515,57204.29924242424,2153645119.022727,1424879426.310606,737754831.3712121
2002-06-30,84363.18181818181,32733.60606060606,51783.617424242424,2003441973.0227273,1329849297.9924242,669673808.1439394
2002-07-31,80855.72727272726,28529.92424242424,52328.981060606064,1761493231.5227273,1145621690.810606,611952674.6893939
2002-08-31,93009.54545454544,37164.83333333333,55575.66287878788,2242834319.204545,1521624346.810606,714139601.4621211
2002-09-30,93272.45454545454,38154.33333333333,55000.52651515151,2281572095.522727,1551158236.310606,726494993.1439394
2002-10-31,92877.04545454544,35726.878787878784,57295.708333333336,2228973243.340909,1473141465.4469697,758279059.2348485
2002-11-30,86430.95454545454,31790.469696969696,55137.16287878788,2002659865.7954545,1300588643.219697,702670447.2348485
2002-12-31,80880.40909090909,29766.969696969696,50861.981060606064,1904674259.8863635,1198089268.9469697,704268317.4166666
2003-01-31,92366.63636363635,35729.06060606061,56640.753787878784,2176168040.977273,1449784010.1742425,726427067.1893939
2003-02-28,77329.31818181818,30453.787878787876,46874.07196969697,1908272429.6136363,1264726926.901515,644533837.4166666
2003-03-31,81439.95454545454,31721.742424242424,49548.844696969696,1952295583.2954545,1309224630.6287878,640417446.5075758
2003-04-30,93088.5909090909,35876.378787878784,57215.39015151515,2236759561.7954545,1499867354.4469697,747622348.1893939
2003-05-31,94371.18181818181,36005.01515151515,58369.29924242424,2263234240.022727,1502763314.310606,769460063.3712121
2003-06-30,91077.18181818181,34958.606060606064,56272.617424242424,2218889566.022727,1490825180.9924242,724145519.1439394
2003-07-31,99152.72727272726,39250.92424242424,59904.981060606064,2386549112.522727,1607996972.810606,774633273.6893939
2003-08-31,94119.54545454544,37755.83333333333,56094.66287878788,2284589329.204545,1572131483.810606,705387474.4621211
2003-09-30,96790.45454545454,38878.33333333333,57794.52651515151,2353340371.522727,1616704554.310606,732716950.1439394
2003-10-31,100595.04545454544,35915.878787878784,61692.708333333336,2399000244.340909,1495672630.4469697,765719650.2348485
2003-11-30,90362.95454545454,34133.469696969696,56726.16287878788,2124906108.7954545,1425078260.219697,700427073.2348485
2003-12-31,92916.40909090909,34440.969696969696,58223.981060606064,2189342010.8863635,1449660769.9469697,737364568.4166666
2004-01-31,87966.63636363635,34383.06060606061,53586.753787878784,2143562974.9772727,1471146737.1742425,672459275.1893939
2004-02-29,90318.31818181818,33648.78787878787,56668.07196969697,2146894357.6136363,1422746955.901515,725135735.4166666
2004-03-31,100327.95454545454,38356.742424242424,61801.844696969696,2366936022.2954545,1590132814.6287878,774149700.5075758
2004-04-30,95087.5909090909,35672.378787878784,59418.39015151515,2224147477.7954545,1481681261.4469697,753196357.1893939
2004-05-31,90565.18181818181,35352.01515151515,55216.29924242424,2134645333.0227273,1458523163.310606,685111307.3712121
2004-06-30,100431.18181818181,39143.606060606064,61441.617424242424,2354659033.022727,1599477404.9924242,751262761.1439394
2004-07-31,94576.72727272726,36491.92424242424,58087.981060606064,2240154753.522727,1508598120.810606,727637765.6893939
2004-08-31,92015.54545454544,35374.83333333333,56371.66287878788,2184286933.204545,1474554542.810606,702662019.4621211
2004-09-30,96997.45454545454,37126.33333333333,59753.52651515151,2332480623.522727,1561624609.310606,766937147.1439394
2004-10-31,91466.04545454544,35289.878787878784,56321.708333333336,2186523502.340909,1476753639.4469697,712217144.2348485
2004-11-30,94065.95454545454,33837.469696969696,60725.16287878788,2212588853.7954545,1447100876.219697,766087202.2348485
2004-12-31,94366.40909090909,33830.969696969696,60283.981060606064,2208450118.8863635,1442304821.9469697,763828623.4166666
2005-01-31,91349.63636363635,34659.06060606061,56693.753787878784,2217453371.977273,1498380696.1742425,719115713.1893939
2005-02-28,90069.31818181818,32575.787878787876,57492.07196969697,2096560999.6136363,1361953316.901515,735596016.4166666
2005-03-31,92586.95454545454,34293.742424242424,58123.844696969696,2206822222.2954545,1452406890.6287878,751761825.5075758
2005-04-30,92136.5909090909,34803.378787878784,57336.39015151515,2154383499.7954545,1441959787.4469697,723153853.1893939
2005-05-31,91113.18181818181,33724.01515151515,57392.29924242424,2115899527.0227273,1395924317.310606,728964348.3712121
2005-06-30,97295.18181818181,37059.606060606064,60389.617424242424,2322707169.022727,1542929669.9924242,775858632.1439394
2005-07-31,92047.72727272726,36351.92424242424,55698.981060606064,2265694463.522727,1548294535.810606,713481061.6893939
2005-08-31,94742.54545454544,35607.83333333333,64854.66287878788,2220839855.204545,1470730911.810606,812371660.4621211
2005-09-30,99897.45454545454,37323.33333333333,62456.52651515151,2256026851.522727,1483709655.310606,768398330.1439394
2005-10-31,88340.04545454544,31842.878787878788,56642.708333333336,1955395191.340909,1245835667.4469697,712006805.2348485
2005-11-30,91520.95454545454,32893.469696969696,59124.16287878788,2054343143.7954545,1313996104.219697,740946264.2348485
2005-12-31,90441.40909090909,32559.969696969696,57629.981060606064,2035624064.8863635,1298499021.9469697,734808370.4166666
2006-01-31,91254.63636363635,33353.06060606061,57904.753787878784,2110379234.9772727,1371928404.1742425,738493868.1893939
2006-02-28,88756.31818181818,31556.787878787876,57198.07196969697,2033601513.6136363,1297862248.901515,736727599.4166666
2006-03-31,92593.95454545454,33183.742424242424,59240.844696969696,2131508174.2954545,1371881230.6287878,756973436.5075758
2006-04-30,85797.5909090909,32293.378787878788,53507.39015151515,2017062651.7954545,1305950247.4469697,721842546.1893939
2006-05-31,94768.18181818181,34437.01515151515,60334.29924242424,2133909942.0227273,1361370108.310606,781528971.3712121
2006-06-30,94357.18181818181,35103.606060606064,59407.617424242424,2147103434.0227273,1374480722.9924242,768703844.1439394
2006-07-31,88526.72727272726,34824.92424242424,53704.981060606064,2046386748.5227273,1357382011.810606,685085869.6893939
2006-08-31,97401.54545454544,35350.83333333333,61781.66287878788,2184278213.204545,1384390079.810606,792817763.4621211
2006-09-30,91065.45454545454,33748.33333333333,57199.52651515151,2068091335.5227273,1319931811.310606,744240658.1439394
2006-10-31,92860.04545454544,33661.878787878784,59343.708333333336,2103924114.340909,1334388240.4469697,771983154.2348485
2006-11-30,90466.95454545454,32116.469696969696,58847.16287878788,2059736956.7954545,1297251788.219697,763084393.2348485
2006-12-31,88401.40909090909,29651.969696969696,58497.981060606064,1893242243.8863635,1169356422.9469697,721569148.4166666
2007-01-31,92885.63636363635,32452.060606060604,60436.753787878784,2104420911.9772727,1339317936.1742425,765146012.1893939
2007-02-28,84849.31818181818,30661.787878787876,54186.07196969697,1954687854.6136363,1239364833.901515,716311354.4166666
2007-03-31,86596.95454545454,31878.742424242424,54548.844696969696,2013805929.2954545,1292115419.6287878,719037003.5075758
2007-04-30,86383.5909090909,31899.378787878788,54487.39015151515,1979675285.7954545,1263727149.4469697,726678278.1893939
2007-05-31,92032.18181818181,32464.015151515152,59571.29924242424,2033345824.0227273,1279504513.310606,762830448.3712121
2007-06-30,91108.18181818181,33718.606060606064,57543.617424242424,2049852692.0227273,1315327618.9924242,730606206.1439394
2007-07-31,89503.72727272726,31421.92424242424,58084.981060606064,1941218785.5227273,1210118205.810606,727181713.6893939
2007-08-31,92330.54545454544,33385.83333333333,58675.66287878788,2051980619.2045453,1305331006.810606,739579241.4621211
2007-09-30,80836.45454545454,28662.333333333332,52056.52651515151,1771325685.5227273,1121847902.310606,645558916.1439394
2007-10-31,91894.04545454544,33415.878787878784,58623.708333333336,2045393513.340909,1305945630.4469697,741895163.2348485
2007-11-30,87305.95454545454,31138.469696969696,56664.16287878788,1909754079.7954545,1200975642.219697,709377661.2348485
2007-12-31,81006.40909090909,27084.969696969696,53669.981060606064,1669860860.8863635,1021172261.9469697,646371926.4166666
2008-01-31,85107.63636363635,30094.060606060604,55016.753787878784,1848075099.9772727,1158296972.1742425,689821164.1893939
2008-02-29,85452.31818181818,28687.787878787876,56763.07196969697,1810293343.6136363,1116230814.901515,695050862.4166666
2008-03-31,75317.95454545454,26134.742424242424,49013.844696969696,1598706475.2954545,999620345.6287878,596432623.5075758
2008-04-30,82787.5909090909,28963.378787878788,53827.39015151515,1745384364.7954545,1089492189.4469697,666622317.1893939
2008-05-31,78531.18181818181,26568.015151515152,51966.29924242424,1567146278.0227273,971545549.310606,604589866.3712121
2008-06-30,78512.18181818181,27848.60606060606,50817.617424242424,1529545761.0227273,963891364.9924242,561735530.1439394
2008-07-31,81496.72727272726,27350.92424242424,54148.981060606064,1559840499.5227273,976610635.810606,579310996.6893939
2008-08-31,72855.54545454544,23865.833333333332,48720.66287878788,1383363233.2045453,859757833.810606,516535028.4621211
2008-09-30,76004.45454545454,25165.333333333332,50721.52651515151,1467723855.5227273,912619143.310606,551185845.1439394
2008-10-31,73524.04545454544,23666.878787878788,50002.708333333336,1395100948.340909,873359549.4469697,524188680.2348485
2008-11-30,77054.95454545454,20820.469696969696,45874.16287878788,1533140935.7954545,948657495.2196969,585082667.2348485
2008-12-31,71256.40909090909,25594.969696969696,51011.981060606064,1534666964.8863635,947267625.9469697,549834409.4166666
2009-01-31,67395.63636363635,18985.060606060604,48413.753787878784,1345914575.9772727,728977012.1742425,529818723.1893939
2009-02-28,74783.31818181818,20748.787878787876,54134.07196969697,1419099438.6136363,803208320.9015151,582854639.4166666
2009-03-31,67013.95454545454,20656.742424242424,49983.844696969696,1342128897.2954545,798686593.6287878,512950878.50757575
2009-04-30,70086.5909090909,19099.378787878788,50990.39015151515,1262684188.7954545,731136908.4469697,542277422.1893939
2009-05-31,65087.18181818181,17314.015151515152,47776.29924242424,1178941358.0227273,680747157.310606,507183338.3712121
2009-06-30,73841.18181818181,20894.60606060606,53100.617424242424,1356128212.0227273,804484148.9924242,547725196.1439394
2009-07-31,75782.72727272726,20998.92424242424,54786.981060606064,1386424334.5227273,809719785.810606,572785681.6893939
2009-08-31,71417.54545454544,23450.833333333332,47697.66287878788,1355582956.2045453,856417000.810606,540788797.4621211
2009-09-30,78400.45454545454,25406.333333333332,52876.52651515151,1539644843.5227273,957509376.310606,578216601.1439394
2009-10-31,71081.04545454544,21167.878787878788,50058.708333333336,1369741789.340909,844618549.4469697,527570520.2348485
2009-11-30,71037.95454545454,22568.469696969696,48966.16287878788,1397293220.7954545,873642300.2196969,524250144.2348485
2009-12-31,71889.40909090909,21533.969696969696,50103.981060606064,1408329749.8863635,834276253.9469697,571736823.4166666
2010-01-31,69185.63636363635,21441.060606060604,47747.753787878784,1333619815.9772727,820768489.1742425,512894364.1893939
2010-02-28,74393.31818181818,22340.787878787876,52052.07196969697,1477602679.6136363,882183816.9015151,596407197.4166666
2010-03-31,76651.95454545454,20936.742424242424,55545.844696969696,1436311635.2954545,838415755.6287878,595242373.5075758
2010-04-30,80623.5909090909,24038.378787878788,56588.39015151515,1590294620.7954545,944022803.4469697,657001959.1893939
2010-05-31,71088.18181818181,21916.015151515152,49175.29924242424,1438412559.0227273,864507324.310606,582894373.3712121
2010-06-30,78642.18181818181,22235.60606060606,56560.617424242424,1523539522.0227273,878663461.9924242,640957193.1439394
2010-07-31,73323.72727272726,21298.92424242424,52027.981060606064,1463782794.5227273,858436126.810606,601427801.6893939
2010-08-31,74251.54545454544,21711.833333333332,52270.66287878788,1452514499.2045453,857586116.810606,587858011.4621211
2010-09-30,76938.45454545454,22934.333333333332,53886.52651515151,1539954828.5227273,907812345.310606,628223617.1439394
2010-10-31,72495.04545454544,22453.878787878788,50186.708333333336,1460312712.340909,885773837.4469697,576986156.2348485
2010-11-30,78378.95454545454,24529.469696969696,54346.16287878788,1593721243.7954545,969800442.2196969,624520025.2348485
2010-12-31,77050.40909090909,23847.969696969696,52950.981060606064,1560454028.8863635,931730473.9469697,626406882.4166666
2011-01-31,73709.63636363635,23261.060606060604,50451.753787878784,1486206891.9772727,901058270.1742425,585191658.1893939
2011-02-28,79023.31818181818,24731.787878787876,54290.07196969697,1605844689.6136363,983303596.9015151,623529427.4166666
2011-03-31,85745.95454545454,26683.742424242424,58892.844696969696,1691755528.2954545,1032127766.6287878,656974254.5075758
2011-04-30,76716.5909090909,23987.378787878788,52732.39015151515,1556980449.7954545,950142818.4469697,617567773.1893939
2011-05-31,73756.18181818181,22997.015151515152,50762.29924242424,1485562680.0227273,913712378.310606,580839440.3712121
2011-06-30,78787.18181818181,23369.60606060606,55571.617424242424,1585372530.0227273,938904233.9924242,642549430.1439394
2011-07-31,68956.72727272726,21316.92424242424,47642.981060606064,1421844477.5227273,852162370.810606,565763239.6893939
2011-08-31,74664.54545454544,23074.833333333332,51320.66287878788,1538854610.2045453,924151359.810606,607632879.4621211
2011-09-30,73381.45454545454,23359.333333333332,49904.52651515151,1533190643.5227273,931565464.310606,597706313.1439394
2011-10-31,72074.04545454544,23446.878787878788,48772.708333333336,1512740804.340909,931808379.4469697,583379706.2348485
2011-11-30,78769.95454545454,26155.469696969696,53111.16287878788,1695618645.7954545,1054391569.2196969,641826301.2348485
2011-12-31,77811.40909090909,25284.969696969696,52274.981060606064,1655663846.8863635,1020539789.9469697,632807383.4166666
2012-01-31,79768.63636363635,26245.060606060604,53526.753787878784,1677211259.9772727,1045909734.1742425,631344562.1893939
2012-02-29,86695.31818181818,27651.787878787876,59042.07196969697,1791137889.6136363,1113005876.901515,679120347.4166666
2012-03-31,82927.95454545454,27296.742424242424,55461.844696969696,1688768808.2954545,1047093769.6287878,639021532.5075758
2012-04-30,77930.5909090909,25661.378787878788,52272.39015151515,1629001527.7954545,998863574.4469697,640868095.1893939
2012-05-31,78643.18181818181,26923.015151515152,51723.29924242424,1692981111.0227273,1064099656.310606,637870593.3712121
2012-06-30,75410.18181818181,26047.60606060606,49516.617424242424,1665955487.0227273,1047149728.9924242,614886891.1439394
2012-07-31,73992.72727272726,24755.92424242424,49239.981060606064,1601998774.5227273,1013506523.810606,584573384.6893939
2012-08-31,78578.54545454544,26964.833333333332,51344.66287878788,1699063218.2045453,1066392120.810606,625600727.4621211
2012-09-30,75284.45454545454,25085.333333333332,50081.52651515151,1566752489.5227273,967618190.310606,595215432.1439394
2012-10-31,80341.04545454544,27750.878787878788,52735.708333333336,1701958151.340909,1085336182.4469697,619069250.2348485
2012-11-30,79221.95454545454,26974.469696969696,52744.16287878788,1679429272.7954545,1048749318.2196969,631279179.2348485
2012-12-31,75645.40909090909,25404.969696969696,49988.981060606064,1600715715.8863635,989724811.9469697,608674230.4166666
2013-01-31,82104.63636363635,28105.060606060604,54002.753787878784,1784919406.9772727,1117575274.1742425,667387169.1893939
2013-02-28,81219.31818181818,27507.787878787876,53710.07196969697,1758072389.6136363,1112735123.901515,646325599.4166666
2013-03-31,82567.95454545454,28622.742424242424,53775.844696969696,1779391147.2954545,1145274067.6287878,631463573.5075758
2013-04-30,85722.5909090909,29467.378787878788,56258.39015151515,1830026677.7954545,1153030057.4469697,687726762.1893939
2013-05-31,85374.18181818181,29636.015151515152,55741.29924242424,1857773093.0227273,1159539258.310606,707222972.3712121
2013-06-30,76819.18181818181,27566.60606060606,49406.617424242424,1698283657.0227273,1090039920.9924242,604324870.1439394
2013-07-31,84877.72727272726,29510.92424242424,55369.981060606064,1860924187.5227273,1184642656.810606,672362663.6893939
2013-08-31,78942.54545454544,26606.833333333332,52066.66287878788,1693170729.2045453,1042140275.810606,643960082.4621211
2013-09-30,81226.45454545454,27068.333333333332,54040.52651515151,1748039259.5227273,1083278096.310606,660842296.1439394
2013-10-31,82120.04545454544,27556.878787878788,54708.708333333336,1829260028.340909,1157318251.4469697,674389057.2348485
2013-11-30,79968.95454545454,27213.469696969696,53252.16287878788,1769260267.7954545,1104941794.219697,664917697.2348485
2013-12-31,79020.40909090909,26346.969696969696,52421.981060606064,1718482978.8863635,1055777320.9469697,660388984.4166666
2014-01-31,79857.63636363635,27814.060606060604,52046.753787878784,1798556201.9772727,1131758711.1742425,666840528.1893939
2014-02-28,78052.31818181818,26070.787878787876,51980.07196969697,1705329555.6136363,1054517961.9015151,651799928.4166666
2014-03-31,75554.95454545454,24334.742424242424,51050.844696969696,1640655185.2954545,998255463.6287878,639746215.5075758
2014-04-30,84647.5909090909,28014.378787878788,56636.39015151515,1847091690.7954545,1143486508.4469697,714335323.1893939
2014-05-31,82310.18181818181,29037.015151515152,53276.29924242424,1830599291.0227273,1167487366.310606,672101062.3712121
2014-06-30,83839.18181818181,29005.60606060606,54987.617424242424,1857084896.0227273,1157777273.9924242,695388755.1439394
2014-07-31,88553.72727272726,31461.92424242424,57094.981060606064,2009573701.5227273,1276411017.810606,729243817.6893939
2014-08-31,81233.54545454544,29181.833333333332,51782.66287878788,1831176973.2045453,1180489437.810606,643617164.4621211
2014-09-30,89739.45454545454,30845.333333333332,58776.52651515151,1979862933.5227273,1247879525.310606,728064541.1439394
2014-10-31,87845.04545454544,29700.878787878788,58289.708333333336,1936922042.340909,1200052444.4469697,739316879.2348485
2014-11-30,78134.95454545454,26560.469696969696,52071.16287878788,1718863940.7954545,1066870201.2196969,652592963.2348485
2014-12-31,87916.40909090909,29191.969696969696,58472.981060606064,1910063088.8863635,1166859732.9469697,740886682.4166666
2015-01-31,85532.63636363635,29911.060606060604,55624.753787878784,2012987233.9772727,1276167893.1742425,736862378.1893939
2015-02-28,85164.31818181818,28298.787878787876,56864.07196969697,1895050343.6136363,1160138688.901515,735899989.4166666
2015-03-31,80995.95454545454,26444.742424242424,54381.844696969696,1772197398.2954545,1071690127.6287878,697853763.5075758
2015-04-30,90140.5909090909,30434.378787878788,59709.39015151515,2049682141.7954545,1258018850.4469697,802393432.1893939
2015-05-31,81346.18181818181,27159.015151515152,54190.29924242424,1820569179.0227273,1125216859.310606,704341458.3712121
2015-06-30,81419.18181818181,31080.60606060606,50492.617424242424,1985107741.0227273,1268627366.9924242,712561507.1439394
2015-07-31,92352.72727272726,32341.92424242424,60013.981060606064,2122536523.5227273,1322796979.810606,795820676.6893939
2015-08-31,85127.54545454544,28324.833333333332,56533.66287878788,1910771629.2045453,1165996517.810606,737704741.4621211
2015-09-30,92383.45454545454,30568.333333333332,61697.52651515151,2088902315.5227273,1274209067.310606,810774382.1439394
2015-10-31,93087.04545454544,31002.878787878788,62229.708333333336,2112790254.340909,1286709699.4469697,828527835.2348485
2015-11-30,89734.95454545454,29806.469696969696,60425.16287878788,2030960830.7954545,1237123196.219697,794436858.2348485
2015-12-31,97079.40909090909,31834.969696969696,64992.981060606064,2192192497.8863635,1313928895.9469697,875946928.4166666
2016-01-31,79298.63636363635,26857.060606060604,52444.753787878784,1872219312.9772727,1135230338.1742425,737032012.1893939
2016-02-29,94137.31818181818,30125.787878787876,64010.07196969697,2143197239.6136363,1287499686.901515,856685886.4166666
2016-03-31,96059.95454545454,29691.742424242424,66198.8446969697,2148954530.2954545,1262053830.6287878,884247193.5075758
2016-04-30,90130.5909090909,27981.378787878788,62152.39015151515,2045960834.7954545,1185507704.4469697,871183271.1893939
2016-05-31,91341.18181818181,29058.015151515152,62286.29924242424,2152496677.022727,1266317288.310606,895168527.3712121
2016-06-30,95716.18181818181,30751.60606060606,65118.617424242424,2236224907.022727,1309225958.9924242,923080081.1439394
2016-07-31,87434.72727272726,27798.92424242424,59638.981060606064,2024426316.5227273,1179142122.810606,841365326.6893939
2016-08-31,94566.54545454544,28144.833333333332,66152.66287878787,2143724357.2045453,1199530514.810606,937123472.4621211
2016-09-30,92647.45454545454,26958.333333333332,65571.52651515152,2121437720.5227273,1178291655.310606,939227199.1439394
2016-10-31,88341.04545454544,27532.878787878788,60953.708333333336,2010925294.340909,1157431508.4469697,855941067.2348485
2016-11-30,92970.95454545454,29359.469696969696,64108.16287878788,2093395377.7954545,1218212914.219697,875781687.2348485
2016-12-31,93864.40909090909,28977.969696969696,64634.981060606064,2138983497.8863635,1234030266.9469697,902636557.4166666
2017-01-31,93588.63636363635,29849.060606060604,63742.753787878784,2179251188.977273,1262133232.1742425,917160994.1893939
2017-02-28,90098.31818181818,28281.787878787876,61815.07196969697,2060710749.6136363,1211438559.901515,850260523.4166666
2017-03-31,92776.95454545454,26854.742424242424,65752.8446969697,2044099672.2954545,1153135724.6287878,888310440.5075758
2017-04-30,82425.5909090909,24329.378787878788,58099.39015151515,1856673649.7954545,1063735279.4469697,803668511.1893939
2017-05-31,91384.18181818181,26464.015151515152,64923.29924242424,2017787493.0227273,1140877864.310606,885898767.3712121
2017-06-30,92262.18181818181,28220.60606060606,64195.617424242424,2063329546.0227273,1191313120.9924242,868097559.1439394
2017-07-31,85956.72727272726,26493.92424242424,59465.981060606064,1877717620.5227273,1090368619.810606,783430133.6893939
2017-08-31,93115.54545454544,27843.833333333332,65002.66287878788,2070342028.2045453,1182211889.810606,881059768.4621211
2017-09-30,86147.45454545454,26589.333333333332,59440.52651515151,1923812161.5227273,1125483522.310606,794409772.1439394
2017-10-31,91384.04545454544,28336.878787878788,63192.708333333336,2059887385.340909,1210370895.4469697,851963770.2348485
2017-11-30,91669.95454545454,28948.469696969696,63218.16287878788,2057100371.7954545,1199052409.219697,858647186.2348485
2017-12-31,87630.40909090909,27716.969696969696,59661.981060606064,1928203123.8863635,1137359093.9469697,788527357.4166666
2018-01-31,92061.63636363635,29629.060606060604,62435.753787878784,2133065098.9772727,1260845931.1742425,872262205.1893939
2018-02-28,87683.31818181818,27316.787878787876,60365.07196969697,1966068411.6136363,1143376171.901515,823680574.4166666
2018-03-31,86423.95454545454,25930.742424242424,60323.844696969696,1909375020.2954545,1086012639.6287878,820708873.5075758
2018-04-30,86326.5909090909,24923.378787878788,61406.39015151515,1921623472.7954545,1092273201.4469697,840080413.1893939
2018-05-31,92639.18181818181,28500.015151515152,64142.29924242424,2017503225.0227273,1154320830.310606,872171533.3712121
