date,total_cars_sold,new_cars_sold,used_cars_sold,real_value_cars_sold,real_new_value_cars_sold,real_used_value_cars_sold
2002-01-31,81033,31106,49927,1983276860,1311790064,671486797
2002-02-28,78502,27520,50982,1779268812,1152499583,626769229
2002-03-31,93019,34225,58794,2118906951,1393518250,725388702
2002-04-30,96269,36452,59817,2203087599,1457386731,745700868
2002-05-31,97936,37359,60577,2231843792,1470619476,761224317
2002-06-30,91763,36348,55415,2140191945,1427246902,712945043
2002-07-31,85602,30367,55235,1861377927,1201573936,659803992
2002-08-31,99275,38965,60310,2377463807,1598418419,779045388
2002-09-30,95225,39740,55485,2361012788,1623118947,737893842
2002-10-31,93296,35276,58020,2252631873,1474406885,778224989
2002-11-30,76878,27812,49066,1821726265,1176690954,645035312
2002-12-31,69455,26994,42461,1779193278,1143277536,635915742
2003-01-31,84188,34707,49481,2118872366,1455332660,663539706
2003-02-28,65633,24585,41048,1579102705,1035445918,543656788
2003-03-31,89218,32705,56513,2024077704,1329199062,694878643
2003-04-30,99538,37682,61856,2305295273,1533224603,772070670
2003-05-31,100214,38472,61742,2341432913,1548503364,792929549
2003-06-30,98477,38573,59904,2355639538,1588222785,767416754
2003-07-31,103899,41088,62811,2486433808,1663949218,822484591
2003-08-31,100385,39556,60829,2419218817,1648925556,770293261
2003-09-30,98743,40464,58279,2432781064,1688665265,744115799
2003-10-31,101014,35465,62417,2422658874,1496938050,785665580
2003-11-30,80810,30155,50655,1943972508,1301180571,642791938
2003-12-31,81491,31668,49823,2063861029,1394849037,669011993
2004-01-31,79788,33361,46427,2086267300,1476695387,609571914
2004-02-29,78622,27780,50842,1817724633,1193465947,624258686
2004-03-31,108106,39340,68766,2438718143,1610107246,828610897
2004-04-30,101537,37478,64059,2292683189,1515038510,777644679
2004-05-31,96408,37819,58589,2212844006,1504263213,708580793
2004-06-30,107831,42758,65073,2491409005,1696875009,794533996
2004-07-31,99323,38329,60994,2340039449,1564550366,775489083
2004-08-31,98281,37175,61106,2318916421,1551348615,767567806
2004-09-30,98950,38712,60238,2411921316,1633585320,778335996
2004-10-31,91885,34839,57046,2210182132,1478019059,732163074
2004-11-30,84513,29859,54654,2031655253,1323203187,708452067
