Year_Month,Fuel_Category,Zip_Code,Count
2020/07,Electric,19973,1
2020/07,Electric,20601,21
2020/07,Electric,20602,26
2020/07,Electric,20603,54
2020/07,Electric,20607,35
2020/07,Electric,20608,1
2020/07,Electric,20613,28
2020/07,Electric,20616,7
2020/07,Electric,20619,26
2020/07,Electric,20620,2
2020/07,Electric,20621,2
2020/07,Electric,20622,2
2020/07,Electric,20623,2
2020/07,Electric,20628,1
2020/07,Electric,20629,1
2020/07,Electric,20630,2
2020/07,Electric,20634,8
2020/07,Electric,20636,19
2020/07,Electric,20637,12
2020/07,Electric,20639,24
2020/07,Electric,20640,9
2020/07,Electric,20645,3
2020/07,Electric,20646,21
2020/07,Electric,20650,32
2020/07,Electric,20653,26
2020/07,Electric,20657,20
2020/07,Electric,20658,3
2020/07,Electric,20659,14
2020/07,Electric,20664,6
2020/07,Electric,20674,2
2020/07,Electric,20675,3
2020/07,Electric,20676,3
2020/07,Electric,20677,8
2020/07,Electric,20678,15
2020/07,Electric,20680,1
2020/07,Electric,20684,2
2020/07,Electric,20685,6
2020/07,Electric,20688,9
2020/07,Electric,20689,2
2020/07,Electric,20690,6
2020/07,Electric,20692,1
2020/07,Electric,20695,17
2020/07,Electric,20701,5
2020/07,Electric,20705,33
2020/07,Electric,20706,27
2020/07,Electric,20707,68
2020/07,Electric,20708,17
2020/07,Electric,20710,3
2020/07,Electric,20711,11
2020/07,Electric,20712,12
2020/07,Electric,20714,6
2020/07,Electric,20715,59
2020/07,Electric,20716,38
2020/07,Electric,20720,76
2020/07,Electric,20721,77
2020/07,Electric,20722,4
2020/07,Electric,20723,170
2020/07,Electric,20724,32
2020/07,Electric,20732,23
2020/07,Electric,20733,10
2020/07,Electric,20735,35
2020/07,Electric,20736,21
2020/07,Electric,20737,16
2020/07,Electric,20740,64
2020/07,Electric,20743,24
2020/07,Electric,20744,90
2020/07,Electric,20745,41
2020/07,Electric,20746,14
2020/07,Electric,20747,8
2020/07,Electric,20748,15
2020/07,Electric,20749,1
2020/07,Electric,20751,8
2020/07,Electric,20754,10
2020/07,Electric,20755,13
2020/07,Electric,20758,1
2020/07,Electric,20759,112
2020/07,Electric,20762,6
2020/07,Electric,20763,4
2020/07,Electric,20764,1
2020/07,Electric,20765,1
2020/07,Electric,20769,24
2020/07,Electric,20770,58
2020/07,Electric,20771,3
2020/07,Electric,20772,102
2020/07,Electric,20774,97
2020/07,Electric,20776,12
2020/07,Electric,20777,55
2020/07,Electric,20778,7
2020/07,Electric,20779,5
2020/07,Electric,20781,30
2020/07,Electric,20782,43
2020/07,Electric,20783,16
2020/07,Electric,20784,7
2020/07,Electric,20785,33
2020/07,Electric,20794,38
2020/07,Electric,20812,4
2020/07,Electric,20814,282
2020/07,Electric,20815,310
2020/07,Electric,20816,176
2020/07,Electric,20817,531
2020/07,Electric,20818,32
2020/07,Electric,20832,81
2020/07,Electric,20833,57
2020/07,Electric,20837,52
2020/07,Electric,20841,77
2020/07,Electric,20842,8
2020/07,Electric,20850,455
2020/07,Electric,20851,35
2020/07,Electric,20852,271
2020/07,Electric,20853,90
2020/07,Electric,20854,748
2020/07,Electric,20855,147
2020/07,Electric,20860,12
2020/07,Electric,20861,20
2020/07,Electric,20862,1
2020/07,Electric,20866,35
2020/07,Electric,20868,4
2020/07,Electric,20871,263
2020/07,Electric,20872,48
2020/07,Electric,20874,165
2020/07,Electric,20876,77
2020/07,Electric,20877,73
2020/07,Electric,20878,477
2020/07,Electric,20879,60
2020/07,Electric,20880,1
2020/07,Electric,20882,77
2020/07,Electric,20886,59
2020/07,Electric,20895,133
2020/07,Electric,20896,12
2020/07,Electric,20901,111
2020/07,Electric,20902,127
2020/07,Electric,20903,19
2020/07,Electric,20904,126
2020/07,Electric,20905,73
2020/07,Electric,20906,150
2020/07,Electric,20910,202
2020/07,Electric,20912,119
2020/07,Electric,21001,22
2020/07,Electric,21005,4
2020/07,Electric,21009,32
2020/07,Electric,21010,1
2020/07,Electric,21012,63
2020/07,Electric,21013,16
2020/07,Electric,21014,45
2020/07,Electric,21015,59
2020/07,Electric,21017,7
2020/07,Electric,21023,1
2020/07,Electric,21028,8
2020/07,Electric,21029,201
2020/07,Electric,21030,73
2020/07,Electric,21031,2
2020/07,Electric,21032,48
2020/07,Electric,21034,1
2020/07,Electric,21035,47
2020/07,Electric,21036,26
2020/07,Electric,21037,78
2020/07,Electric,21040,8
2020/07,Electric,21042,289
2020/07,Electric,21043,259
2020/07,Electric,21044,214
2020/07,Electric,21045,131
2020/07,Electric,21046,83
2020/07,Electric,21047,29
2020/07,Electric,21048,29
2020/07,Electric,21050,26
2020/07,Electric,21051,1
2020/07,Electric,21053,5
