Month,Fuel Price
2002-01-01,0.634
2002-02-01,0.631
2002-03-01,0.764
2002-04-01,0.941
2002-05-01,0.945
2002-06-01,0.908
2002-07-01,0.911
2002-08-01,0.912
2002-09-01,0.906
2002-10-01,0.962
2002-11-01,0.924
2002-12-01,0.924
2003-01-01,0.995
2003-02-01,1.123
2003-03-01,1.141
2003-04-01,1.044
2003-05-01,0.978
2003-06-01,0.968
2003-07-01,1.001
2003-08-01,1.098
2003-09-01,1.08
2003-10-01,1.035
2003-11-01,0.974
2003-12-01,0.964
2004-01-01,1.083
2004-02-01,1.133
2004-03-01,1.196
2004-04-01,1.237
2004-05-01,1.452
2004-06-01,1.407
2004-07-01,1.376
2004-08-01,1.346
2004-09-01,1.338
2004-10-01,1.46
2004-11-01,1.396
2004-12-01,1.23
2005-01-01,1.317
2005-02-01,1.352
2005-03-01,1.53
2005-04-01,1.662
2005-05-01,1.571
2005-06-01,1.644
2005-07-01,1.773
2005-08-01,2.025
2005-09-01,2.382
2005-10-01,2.07
2005-11-01,1.643
2005-12-01,1.662
2006-01-01,1.818
2006-02-01,1.69
2006-03-01,1.892
2006-04-01,2.286
2006-05-01,2.41
2006-06-01,2.446
2006-07-01,2.53
2006-08-01,2.36
2006-09-01,1.858
2006-10-01,1.641
2006-11-01,1.679
2006-12-01,1.785
2007-01-01,1.634
2007-02-01,1.719
2007-03-01,2.018
2007-04-01,2.31
2007-05-01,2.511
2007-06-01,2.429
2007-07-01,2.369
2007-08-01,2.175
2007-09-01,2.189
2007-10-01,2.199
2007-11-01,2.467
2007-12-01,2.392
2008-01-01,2.441
2008-02-01,2.465
2008-03-01,2.671
2008-04-01,2.901
2008-05-01,3.238
2008-06-01,3.47
2008-07-01,3.396
2008-08-01,3.058
2008-09-01,3.004
2008-10-01,2.177
2008-11-01,1.468
2008-12-01,1.123
2009-01-01,1.251
2009-02-01,1.358
2009-03-01,1.422
2009-04-01,1.504
2009-05-01,1.781
2009-06-01,2.034
2009-07-01,1.899
2009-08-01,2.036
2009-09-01,1.911
2009-10-01,1.985
2009-11-01,2.073
2009-12-01,2.035
2010-01-01,2.146
2010-02-01,2.079
2010-03-01,2.23
2010-04-01,2.293
2010-05-01,2.209
2010-06-01,2.134
2010-07-01,2.088
2010-08-01,2.054
2010-09-01,2.067
2010-10-01,2.21
2010-11-01,2.282
2010-12-01,2.434
2011-01-01,2.502
2011-02-01,2.595
2011-03-01,2.956
2011-04-01,3.264
2011-05-01,3.227
2011-06-01,3.035
2011-07-01,3.134
2011-08-01,2.971
2011-09-01,2.874
2011-10-01,2.797
2011-11-01,2.721
2011-12-01,2.655
2012-01-01,2.829
2012-02-01,3.025
2012-03-01,3.25
2012-04-01,3.254
2012-05-01,2.993
2012-06-01,2.751
2012-07-01,2.881
2012-08-01,3.118
2012-09-01,3.132
2012-10-01,2.898
2012-11-01,2.711
2012-12-01,2.675
2013-01-01,2.797
2013-02-01,3.072
2013-03-01,3.051
2013-04-01,2.848
2013-05-01,2.891
2013-06-01,2.855
2013-07-01,2.983
2013-08-01,2.92
2013-09-01,2.753
2013-10-01,2.658
2013-11-01,2.648
2013-12-01,2.716
2014-01-01,2.673
2014-02-01,2.727
2014-03-01,2.879
2014-04-01,2.977
2014-05-01,2.968
2014-06-01,3.023
2014-07-01,2.89
2014-08-01,2.736
2014-09-01,2.657
2014-10-01,2.333
2014-11-01,2.139
2014-12-01,1.717
2015-01-01,1.414
2015-02-01,1.614
2015-03-01,1.727
2015-04-01,1.787
2015-05-01,2.028
2015-06-01,2.097
2015-07-01,2.005
2015-08-01,1.72
2015-09-01,1.502
2015-10-01,1.466
2015-11-01,1.384
2015-12-01,1.309
2016-01-01,1.156
2016-02-01,1.041
2016-03-01,1.306
2016-04-01,1.452
2016-05-01,1.596
2016-06-01,1.602
2016-07-01,1.428
2016-08-01,1.455
2016-09-01,1.44
2016-10-01,1.54
2016-11-01,1.42
2016-12-01,1.588
2017-01-01,1.596
2017-02-01,1.574
2017-03-01,1.567
2017-04-01,1.67
2017-05-01,1.618
2017-06-01,1.52
2017-07-01,1.596
2017-08-01,1.67
2017-09-01,1.823
2017-10-01,1.66
2017-11-01,1.758
2017-12-01,1.701
2018-01-01,1.823
2018-02-01,1.767
2018-03-01,1.851
2018-04-01,1.998
2018-05-01,2.199
2018-06-01,2.102
2018-07-01,2.117
2018-08-01,2.062
2018-09-01,2.055
2018-10-01,1.983
2018-11-01,1.613
2018-12-01,1.436
2019-01-01,1.437
2019-02-01,1.555
2019-03-01,1.834
2019-04-01,2.029
2019-05-01,2.023
2019-06-01,1.833
2019-07-01,1.955
2019-08-01,1.738
2019-09-01,1.709
2019-10-01,1.704
2019-11-01,1.71
2019-12-01,1.704
2020-01-01,1.667
2020-02-01,1.577
2020-03-01,1.04
2020-04-01,0.673
2020-05-01,0.997
2020-06-01,1.212
2020-07-01,1.29
2020-08-01,1.284
2020-09-01,1.256
2020-10-01,1.227
2020-11-01,1.196
2020-12-01,1.333
2021-01-01,1.516
2021-02-01,1.711
2021-03-01,1.933
2021-04-01,1.937
2021-05-01,2.092
2021-06-01,2.13
2021-07-01,2.204
2021-08-01,2.156
2021-09-01,2.189
2021-10-01,2.404
2021-11-01,2.4
2021-12-01,2.24
2022-01-01,2.347
2022-02-01,2.572
2022-03-01,3.115
